ngram,count,per_million
in this paper,1893,725.1
the number of,1840,704.8
in order to,1378,527.9
this paper we,1240,475.0
based on the,1111,425.6
the performance of,1009,386.5
as well as,982,376.2
in terms of,886,339.4
for this manuscript,812,311.0
interspeech abstract cards,796,304.9
search hub toc,796,304.9
hub toc for,796,304.9
toc for this,796,304.9
september dresden germany,779,298.4
the use of,752,288.1
the proposed method,744,285.0
this manuscript interspeech,744,285.0
manuscript interspeech abstract,744,285.0
abstract cards page,734,281.2
in this work,709,271.6
due to the,690,264.3
automatic speech recognition,666,255.1
of the proposed,628,240.6
with respect to,563,215.7
deep neural network,561,214.9
deep neural networks,549,210.3
one of the,535,204.9
in this study,514,196.9
is used to,514,196.9
the training data,512,196.1
compared to the,501,191.9
performance of the,490,187.7
where is the,468,179.3
page view manuscript,456,174.7
show that the,447,171.2
is based on,439,168.2
used in the,438,167.8
the results of,434,166.2
of the speech,423,162.0
each of the,420,160.9
as shown in,417,159.7
the effect of,411,157.4
this work we,406,155.5
according to the,399,152.8
that the proposed,398,152.5
cards page view,394,150.9
can be used,393,150.5
it can be,388,148.6
on the other,383,146.7
results show that,375,143.6
speaker veri cation,374,143.3
shown in table,374,143.3
in the training,369,141.3
shown in figure,362,138.7
the other hand,356,136.4
to improve the,348,133.3
can be seen,347,132.9
we use the,344,131.8
part of the,341,130.6
speech recognition asr,339,129.9
the case of,339,129.9
view manuscript of,336,128.7
word error rate,330,126.4
the speech signal,325,124.5
are shown in,325,124.5
the training set,323,123.7
the context of,322,123.3
figure shows the,319,122.2
in the context,315,120.7
interspeech detailed author,297,113.8
detailed author index,297,113.8
copyright isca september,295,113.0
isca september dresden,295,113.0
to evaluate the,292,111.9
the fact that,291,111.5
in the case,291,111.5
table shows the,288,110.3
the test set,283,108.4
was used to,276,105.7
be used to,275,105.3
the output of,275,105.3
to reduce the,268,102.7
is shown in,267,102.3
described in section,266,101.9
the quality of,265,101.5
results of the,265,101.5
the proposed approach,263,100.7
is the number,263,100.7
of the target,261,100.0
of the dnn,260,99.6
total number of,252,96.5
in addition to,251,96.1
respect to the,249,95.4
is used for,249,95.4
which can be,249,95.4
we used the,249,95.4
author index page,249,95.4
